cross_over_date_strong,Name,mov2,mov1
2021-05-18,CUB,20.0,50.0
2021-06-24,CUB,20.0,50.0
2021-02-26,CUBEXTUB,20.0,50.0
2021-04-09,CUBEXTUB,20.0,50.0
2021-04-15,CUBEXTUB,20.0,50.0
2021-07-06,CUBEXTUB,20.0,50.0
2021-06-28,CUMMINSIND,20,50
2021-04-07,CUPID,20.0,50.0
2021-04-22,CUPID,20.0,50.0
2021-07-07,CUPID,20.0,50.0
2021-07-02,CYBERMEDIA,20,50
2021-04-09,CYBERTECH,20.0,50.0
2021-04-29,CYBERTECH,20.0,50.0
,CYIENT,20,50
2021-03-08,DAAWAT,20.0,50.0
2021-07-26,DAAWAT,20.0,50.0
2020-12-29,DABUR,20.0,50.0
2021-03-26,DABUR,20.0,50.0
2021-06-11,DABUR,20.0,50.0
2021-08-31,DALBHARAT,20,50
2021-02-22,DALMIASUG,20,50
2021-05-18,DAMODARIND,20,50
2021-03-18,DATAMATICS,20.0,50.0
2021-05-03,DATAMATICS,20.0,50.0
2021-02-04,DBCORP,20.0,50.0
2021-05-26,DBCORP,20.0,50.0
2021-06-17,DBL,20.0,50.0
2021-06-23,DBL,20.0,50.0
2021-06-08,DBREALTY,20.0,50.0
2021-09-15,DBREALTY,20.0,50.0
2021-05-17,DBSTOCKBRO,20.0,50.0
2021-08-10,DBSTOCKBRO,20.0,50.0
2020-12-16,DCAL,20.0,50.0
2021-01-15,DCAL,20.0,50.0
2021-04-20,DCAL,20.0,50.0
2021-05-27,DCBBANK,20,50
2021-05-11,DCM,20,50
2020-12-08,DCMFINSERV,20.0,50.0
2021-04-27,DCMFINSERV,20.0,50.0
,DCMNVL,20,50
2021-09-15,DCMSHRIRAM,20,50
,DCW,20,50
2021-02-02,DECCANCE,20,50
2020-12-07,DEEPAKFERT,20.0,50.0
2021-02-24,DEEPAKFERT,20.0,50.0
2021-07-01,DEEPAKNTR,20,50
,DEEPENR,20,50
,DEEPINDS,20,50
2021-03-04,DELTACORP,20.0,50.0
2021-05-27,DELTACORP,20.0,50.0
2021-09-03,DELTACORP,20.0,50.0
2021-02-16,DELTAMAGNT,20.0,50.0
2021-05-27,DELTAMAGNT,20.0,50.0
2021-08-24,DELTAMAGNT,20.0,50.0
2021-06-02,DEN,20,50
2020-12-07,DENORA,20.0,50.0
2021-05-07,DENORA,20.0,50.0
2021-06-01,DFMFOODS,20,50
2020-12-10,DGCONTENT,20.0,50.0
2021-05-26,DGCONTENT,20.0,50.0
2021-02-25,DHAMPURSUG,20,50
2021-02-17,DHANBANK,20.0,50.0
2021-05-27,DHANBANK,20.0,50.0
2021-06-10,DHANI,20,50
2021-04-26,DHANUKA,20,50
2021-03-02,DHARSUGAR,20.0,50.0
2021-05-04,DHARSUGAR,20.0,50.0
